Date,Temperature,SnowHeight
2018-01-01,-11.499765572004083,96.45655831299128
2018-01-02,-8.932819015815621,97.47138212446076
2018-01-03,-11.548872963105744,98.57926616463176
2018-01-04,-9.60230142465984,99.42568678456766
2018-01-05,-12.229191510822735,101.29674024467228
2018-01-06,-9.708394177764282,102.11335384194942
2018-01-07,-9.196243016329817,103.08578894560912
2018-01-08,-13.306338347674906,103.61335072044136
2018-01-09,-11.710745017901708,104.19535242439164
2018-01-10,-9.59694820461918,105.12170116863123
2018-01-11,-5.311300748732559,105.63206493104738
2018-01-12,-9.122967966935462,106.30757023065976
2018-01-13,-10.650494482894787,115.61592954999328
2018-01-14,-6.94942178155454,116.62421254447908
2018-01-15,-6.990735276727682,117.4580410073282
2018-01-16,-7.750921504662892,117.99142512504449
2018-01-17,-8.716921200664927,119.01643690081886
2018-01-18,-8.737151088527275,119.35633463716734
2018-01-19,-10.0104792649376,120.1894877949619
2018-01-20,-14.414917762293124,120.65990196228977
2018-01-21,-9.659424041557552,121.8414941884816
2018-01-22,-8.269224108364432,122.24127789114247
2018-01-23,-10.13229734308906,123.03483119388362
2018-01-24,-10.413843553950882,123.45029990607443
2018-01-25,-9.792833706000314,126.47509826380012
2018-01-26,-9.224976091168418,127.66377624185208
2018-01-27,-7.244559717891808,128.15455666919323
2018-01-28,-5.197698242996021,128.48025695881356
2018-01-29,-5.745838893248452,129.01721883994475
2018-01-30,-4.470602251067671,129.29849746521234
2018-01-31,-7.593439537012398,129.9877969410316
2018-02-01,-10.39070307218805,131.04989390577768
2018-02-02,-7.947495347636201,131.39107761978127
2018-02-03,-7.853232621524527,132.42615952336635
2018-02-04,-9.027322347524942,133.29618228870646
2018-02-05,-4.593641266175695,133.85838797634796
2018-02-06,-7.2998427674771085,134.36427651732444
2018-02-07,-8.760587895310206,135.21113952957165
2018-02-08,-9.467075000000268,136.2088861417006
2018-02-09,-3.452798298206565,136.49474186305773
2018-02-10,-1.9521811415903685,139.76547525736163
2018-02-11,-5.815879594663457,140.1003727256547
2018-02-12,-6.696208236717461,140.80671296838128
2018-02-13,-7.630721187203546,141.399854599219
2018-02-14,-5.621486803984325,141.97308966152528
2018-02-15,-9.288444205744357,142.56000445258277
2018-02-16,-5.305283761600611,143.37816920461404
2018-02-17,-5.575734575640292,143.58444262353413
2018-02-18,-0.3901934870291699,143.62129736312187
2018-02-19,-6.586050971401339,143.98906398757907
2018-02-20,-4.5069664780727585,144.26871063444972
2018-02-21,-0.6133514862427232,144.29622389771654
2018-02-22,-3.1019576801051327,144.51924516615773
2018-02-23,-4.637324120092137,144.98971454187802
2018-02-24,-4.265569139185125,145.46051640965064
2018-02-25,-2.938489943034275,145.6832389266504
2018-02-26,-3.173298342562199,146.03858804542372
2018-02-27,-4.228572070269648,146.46854341228317
2018-02-28,-3.8055650181797183,146.7880888779768
2018-03-01,-3.3970503737723323,147.0792172104883
2018-03-02,-1.9403361105181365,147.3383671280071
2018-03-03,-0.9945130651149572,147.41615790933025
2018-03-04,0.1605223305940333,147.17323125126225
2018-03-05,-2.6737713153556006,147.37706262026597
2018-03-06,0.6595130812724035,147.3214189096762
2018-03-07,2.63202836654459,147.12945528907315
2018-03-08,-1.327723803333091,154.27134036734793
2018-03-09,-4.637899966431798,154.55780413396087
2018-03-10,-0.3193006990470892,160.4778646468909
2018-03-11,0.3481055004689045,160.2630842050351
2018-03-12,-0.6693259690653544,160.33890762153254
2018-03-13,2.225802439828004,159.86143884330698
2018-03-14,2.652367371137583,159.23678709997893
2018-03-15,0.4856940692405214,159.17054166189646
2018-03-16,2.987196916862055,158.8805606461811
2018-03-17,0.5660761493937931,158.7501262432461
2018-03-18,-2.990775846289937,158.89167939274802
2018-03-19,-1.066695038603823,159.02531115361546
2018-03-20,3.484946695260098,158.40240502020566
2018-03-21,4.156000231274209,157.7389997809123
2018-03-22,2.666955337243902,157.30358409188383
2018-03-23,0.9493896737804884,157.1395381819392
2018-03-24,4.533655239270232,156.167139742875
2018-03-25,0.3802218955999707,156.08391766865583
2018-03-26,6.555763455704773,154.5289422193825
2018-03-27,4.524389866417994,153.87105846459707
2018-03-28,3.1291773767371165,153.38857013449467
2018-03-29,3.447603608993525,153.22875867822054
2018-03-30,2.8793243572039593,153.23132823503155
2018-03-31,4.107593902683508,152.92715208256377
2018-04-01,4.423563219810443,152.27554977998682
2018-04-02,2.093808279448122,151.8283854027338
