Date,Actual_Rain,Forecast
2018-01-01,False,0.0887912666500216
2018-01-02,False,0.0642478783554876
2018-01-03,False,0.026337740498075
2018-01-04,False,0.0954750277364033
2018-01-05,False,0.0311934484829664
2018-01-06,False,0.069432961038008
2018-01-07,False,0.0635676311720269
2018-01-08,False,0.061779211819155
2018-01-09,False,0.0179731784784914
2018-01-10,False,0.0911464841703045
2018-01-11,False,0.0142979260544926
2018-01-12,False,0.0639926808019918
2018-01-13,False,0.0540603768804265
2018-01-14,False,0.1588786554031434
2018-01-15,False,0.01
2018-01-16,False,0.1063101533976006
2018-01-17,False,0.0957103241256739
2018-01-18,False,0.053076016368206
2018-01-19,False,0.0519832022077775
2018-01-20,False,0.01
2018-01-21,False,0.1211993563187455
2018-01-22,False,0.1189101715385329
2018-01-23,False,0.0280232724113655
2018-01-24,False,0.0652637530893945
2018-01-25,False,0.0858696589824544
2018-01-26,False,0.01
2018-01-27,False,0.0580886266799405
2018-01-28,False,0.1005957255335938
2018-01-29,False,0.0145321200309775
2018-01-30,False,0.0794071058732004
2018-01-31,False,0.0621776803192846
2018-02-01,False,0.0907695489268996
2018-02-02,True,0.1031875820808985
2018-02-03,False,0.0347398369231069
2018-02-04,False,0.0722061357717412
2018-02-05,False,0.0632316932261733
2018-02-06,False,0.0279257361360465
2018-02-07,False,0.0963615526899831
2018-02-08,False,0.0596209800406261
2018-02-09,False,0.0420512329093708
2018-02-10,False,0.0885897394560993
2018-02-11,False,0.0933361918671542
2018-02-12,False,0.0164639915487331
2018-02-13,True,0.0561048544026765
2018-02-14,False,0.01
2018-02-15,False,0.0694542049628604
2018-02-16,False,0.03572519320235
2018-02-17,False,0.0359231555116099
2018-02-18,False,0.0157290991717231
2018-02-19,False,0.0686948071227012
2018-02-20,False,0.0148211960229001
2018-02-21,False,0.0529682181139633
2018-02-22,False,0.1109151086485857
2018-02-23,False,0.0211399839740114
2018-02-24,True,0.0488638855678193
2018-02-25,False,0.0581368513863618
2018-02-26,False,0.0489947294830937
2018-02-27,True,0.01
2018-02-28,False,0.1115691686963321
2018-03-01,False,0.1742241669492531
2018-03-02,False,0.0834924260616099
2018-03-03,False,0.0435221182463982
2018-03-04,False,0.0733930854562607
2018-03-05,False,0.0215213050306989
2018-03-06,False,0.0722475515143184
2018-03-07,False,0.0661772535860426
2018-03-08,False,0.0323955502736328
2018-03-09,False,0.0541324901244818
2018-03-10,False,0.01
2018-03-11,True,0.0616768441429034
2018-03-12,False,0.0414370771235744
2018-03-13,False,0.0329378863353077
2018-03-14,False,0.1121781631668219
2018-03-15,False,0.0222606280476703
2018-03-16,False,0.0180667676727938
